t	axoaxoniccell	bistratifiedcell	cckcell	ivycell	ngfcell	olmcell	pyramidalcell	pvbasketcell	scacell	ca3cell	eccell
138.575	0	4.60196	0.90643	0.010042	0	-0.0989502	-4.52057e-09	2.32393	0.0002312	-799.168	0
138.6	0	4.60043	0.912665	0.0100587	0	-0.0945844	-3.98727e-09	2.3454	0.000231673	-798.532	0
138.625	0	4.5984	0.918754	0.0100744	0	-0.0903194	-3.51692e-09	2.36641	0.000232131	-797.863	0
138.65	0	4.5959	0.9247	0.0100891	0	-0.0861529	-3.10208e-09	2.38695	0.000232574	-797.588	0
138.675	0	4.59339	0.930603	0.0101033	0	-0.0820826	-2.7362e-09	2.40718	0.000233021	-797.272	0
138.7	0	4.59062	0.936511	0.010117	0	-0.0781063	-2.41349e-09	2.42724	0.000233485	-796.917	0
138.725	0	4.58757	0.942366	0.0101301	0	-0.0742219	-2.12886e-09	2.44709	0.000233951	-796.523	0
138.75	0	4.58422	0.948154	0.0101426	0	-0.0704271	-1.87781e-09	2.4667	0.000234416	-796.092	0
138.775	0	4.58054	0.953861	0.0101546	0	-0.0667197	-1.65637e-09	2.48603	0.000234875	-795.624	0
138.8	0	4.57654	0.95948	0.0101658	0	-0.0630977	-1.46106e-09	2.50508	0.000235326	-795.119	0
138.825	0	4.57219	0.965003	0.0101763	0	-0.0595588	-1.28879e-09	2.52383	0.000235767	-794.579	0
138.85	0	4.5675	0.970425	0.0101861	0	-0.056101	-1.13684e-09	2.54226	0.000236197	-794.005	0
138.875	0	4.56246	0.975744	0.0101951	0	-0.0527223	-1.00281e-09	2.56037	0.000236614	-793.397	0
138.9	0	4.55707	0.980957	0.0102034	0	-0.0494209	-8.84588e-10	2.57816	0.000237019	-792.755	0
138.925	0	4.55133	0.986063	0.010211	0	-0.0461947	-7.80308e-10	2.59562	0.000237411	-792.081	0
138.95	0	4.54525	0.991059	0.0102178	0	-0.043042	-6.88326e-10	2.61274	0.00023779	-791.776	0
138.975	0	4.5392	0.996027	0.0102239	0	-0.0399609	-6.0719e-10	2.6296	0.000238174	-791.43	0
139	0	4.53297	1.001	0.0102296	0	-0.0369496	-5.35621e-10	2.64629	0.000238574	-791.045	0
139.025	0	4.52654	1.00593	0.010235	0	-0.0340065	-4.7249e-10	2.66283	0.000238977	-790.622	0
139.05	0	4.51989	1.01081	0.0102398	0	-0.0311298	-4.16802e-10	2.67917	0.000239379	-790.161	0
139.075	0	4.513	1.01562	0.0102442	0	-0.0283177	-3.6768e-10	2.69531	0.000239775	-789.665	0
139.1	0	4.50586	1.02035	0.0102481	0	-0.0255686	-3.24348e-10	2.71123	0.000240163	-789.132	0
139.125	0	4.49846	1.02501	0.0102514	0	-0.0228808	-2.86125e-10	2.72692	0.000240542	-788.565	0
139.15	0	4.4908	1.02959	0.0102541	0	-0.0202526	-2.52408e-10	2.74237	0.000240909	-787.963	0
139.175	0	4.48287	1.03408	0.0102563	0	-0.0176825	-2.22665e-10	2.75757	0.000241266	-787.741	0
139.2	0	4.47547	1.03856	0.0102596	0	-0.0151691	-1.96427e-10	2.77257	0.000241628	-787.475	0
139.225	0	4.46816	1.04305	0.010263	0	-0.0127107	-1.73283e-10	2.78742	0.000242006	-787.168	0
139.25	0	4.46087	1.04751	0.0102664	0	-0.010306	-1.52866e-10	2.80212	0.000242388	-786.82	0
139.275	0	4.45351	1.05191	0.0102695	0	-0.00795348	-1.34855e-10	2.81663	0.000242768	-786.433	0
139.3	0	4.44603	1.05626	0.0102723	0	-0.00565185	-1.18967e-10	2.83094	0.000243142	-786.008	0
139.325	0	4.43838	1.06054	0.0102747	0	-0.00339972	-1.04951e-10	2.84505	0.000243508	-785.546	0
139.35	0	4.43054	1.06475	0.0102766	0	-0.0011958	-9.25866e-11	2.85895	0.000243865	-785.047	0
