t	v	myi_ch_HCNp	myi_ch_Kdrp	myi_ch_KvAproxp	myi_ch_Navp
4.85	-62.7228	-0.00104237	1.49219e-05	0.000145238	-2.85214e-07
4.875	-62.7148	-0.0010421	1.49289e-05	0.000145366	-2.86061e-07
4.9	-62.7067	-0.00104182	1.49361e-05	0.000145496	-2.8693e-07
4.925	-62.6983	-0.00104153	1.49434e-05	0.000145629	-2.87822e-07
4.95	-62.6897	-0.00104124	1.4951e-05	0.000145766	-2.88738e-07
4.975	-62.6809	-0.00104093	1.49587e-05	0.000145905	-2.8968e-07
5	-62.6719	-0.00104062	1.49667e-05	0.000146048	-2.90647e-07
5.025	-62.6627	-0.0010403	1.49748e-05	0.000146195	-2.91641e-07
5.05	-62.6534	-0.00103998	1.49831e-05	0.000146344	-2.92662e-07
5.075	-62.6438	-0.00103965	1.49917e-05	0.000146498	-2.93711e-07
5.1	-62.634	-0.00103931	1.50004e-05	0.000146654	-2.94787e-07
5.125	-62.624	-0.00103896	1.50093e-05	0.000146814	-2.95891e-07
5.15	-62.6138	-0.0010386	1.50184e-05	0.000146978	-2.97023e-07
5.175	-62.6035	-0.00103824	1.50278e-05	0.000147145	-2.98183e-07
5.2	-62.5929	-0.00103787	1.50373e-05	0.000147315	-2.99371e-07
5.225	-62.5822	-0.0010375	1.5047e-05	0.000147489	-3.00586e-07
5.25	-62.5713	-0.00103711	1.50569e-05	0.000147666	-3.0183e-07
5.275	-62.5603	-0.00103672	1.5067e-05	0.000147847	-3.031e-07
5.3	-62.5491	-0.00103633	1.50773e-05	0.00014803	-3.04398e-07
5.325	-62.5378	-0.00103593	1.50878e-05	0.000148217	-3.05722e-07
5.35	-62.5263	-0.00103552	1.50985e-05	0.000148407	-3.07072e-07
5.375	-62.5147	-0.00103511	1.51093e-05	0.000148599	-3.08448e-07
5.4	-62.503	-0.00103469	1.51204e-05	0.000148795	-3.09848e-07
5.425	-62.4912	-0.00103427	1.51316e-05	0.000148993	-3.11272e-07
5.45	-62.4792	-0.00103384	1.51429e-05	0.000149194	-3.12721e-07
5.475	-62.4672	-0.00103341	1.51545e-05	0.000149397	-3.14192e-07
5.5	-62.4551	-0.00103297	1.51662e-05	0.000149603	-3.15685e-07
5.525	-62.4429	-0.00103253	1.5178e-05	0.000149811	-3.17199e-07
5.55	-62.4306	-0.00103208	1.51901e-05	0.00015002	-3.18734e-07
5.575	-62.4183	-0.00103163	1.52022e-05	0.000150232	-3.20289e-07
5.6	-62.4059	-0.00103118	1.52146e-05	0.000150446	-3.21864e-07
5.625	-62.3934	-0.00103073	1.5227e-05	0.000150661	-3.23457e-07
5.65	-62.3809	-0.00103027	1.52397e-05	0.000150878	-3.25067e-07
5.675	-62.3684	-0.00102981	1.52524e-05	0.000151096	-3.26695e-07
5.7	-62.3558	-0.00102934	1.52653e-05	0.000151316	-3.28339e-07
5.725	-62.3432	-0.00102888	1.52783e-05	0.000151536	-3.29998e-07
5.75	-62.3305	-0.00102841	1.52915e-05	0.000151758	-3.31672e-07
5.775	-62.3179	-0.00102794	1.53048e-05	0.000151981	-3.33361e-07
5.8	-62.3052	-0.00102746	1.53182e-05	0.000152204	-3.35063e-07
5.825	-62.2925	-0.00102699	1.53317e-05	0.000152429	-3.36778e-07
5.85	-62.2798	-0.00102651	1.53454e-05	0.000152654	-3.38505e-07
5.875	-62.2671	-0.00102604	1.53591e-05	0.000152879	-3.40243e-07
5.9	-62.2545	-0.00102556	1.5373e-05	0.000153105	-3.41993e-07
5.925	-62.2418	-0.00102508	1.5387e-05	0.000153331	-3.43753e-07
5.95	-62.2291	-0.0010246	1.54011e-05	0.000153557	-3.45524e-07
5.975	-62.2163	-0.00102411	1.54153e-05	0.000153784	-3.47305e-07
6	-62.2035	-0.00102363	1.54296e-05	0.000154011	-3.49097e-07
